3000;SCOLAIRE
3001: SCOLAIRE / Pré-scolaire et primaire
3002: SCOLAIRE / Pré-scolaire et primaire / Pré-scolaire et maternelle
3003: SCOLAIRE / Pré-scolaire et primaire / Élémentaire
3004: SCOLAIRE / Manuels scolaires Secondaire Général
3005: SCOLAIRE / Manuels scolaires Secondaire Général / Collège
3006: SCOLAIRE / Manuels scolaires Secondaire Général / Lycée général
3007: SCOLAIRE / Manuels scolaires Secondaire Technique et professionnel
3008: SCOLAIRE / Manuels scolaires Secondaire Technique et professionnel / Lycée professionnel, Bac professionnel (4e/3e technologique, CAP, BEP...)
3009: SCOLAIRE / Manuels scolaires Secondaire Technique et professionnel / Lycée technologique, Bac technologique
3010: SCOLAIRE / Manuels scolaires Supérieur Technique
3011: SCOLAIRE / Manuels scolaires Supérieur Technique / Brevet de Technicien Supérieur (BTS)
3012: SCOLAIRE / Manuels scolaires Supérieur Technique / Diplôme Universitaire de Technologie (DUT)
4271: SCOLAIRE / Classes préparatoires aux grandes écoles (CPGE)
3013;PARASCOLAIRE
3014: PARASCOLAIRE / Cahier de vacances
3015: PARASCOLAIRE / Cahier de vacances / Maternelle
3016: PARASCOLAIRE / Cahier de vacances / Primaire
3017: PARASCOLAIRE / Cahier de vacances / Collège
3018: PARASCOLAIRE / Cahier de vacances / Lycée
3019: PARASCOLAIRE / Cahier de soutien
3020: PARASCOLAIRE / Cahier de soutien / Maternelle
3021: PARASCOLAIRE / Cahier de soutien / Élémentaire
3022: PARASCOLAIRE / Cahier de soutien / Collège
3023: PARASCOLAIRE / Cahier de soutien / Lycée
3024: PARASCOLAIRE / Préparation aux examens
3025: PARASCOLAIRE / Préparation aux examens / Préparation au Brevet des collèges
3026: PARASCOLAIRE / Préparation aux examens / Préparation au Baccalauréat général
3027: PARASCOLAIRE / Préparation aux examens / Préparation au Baccalauréat professionnel et technique
4157: PARASCOLAIRE / Préparation aux examens / Préparation aux CAP
4158: PARASCOLAIRE / Préparation aux examens / Préparation aux BTS
4159: PARASCOLAIRE / Préparation aux examens / Préparation aux examens de l’enseignement supérieur
3028: PARASCOLAIRE / Annales
3029: PARASCOLAIRE / Annales / Annales Brevet des collèges
3030: PARASCOLAIRE / Annales / Annales Baccalauréat général
3031: PARASCOLAIRE / Annales / Annales Baccalauréat professionnel et technique
3032: PARASCOLAIRE / Ouvrage de référence
3033: PARASCOLAIRE / Ouvrage de référence / Mémentos, aide-mémoires, méthodes de français
3034: PARASCOLAIRE / Ouvrage de référence / Mémentos, aide-mémoires et méthodes de langues étrangères
3035: PARASCOLAIRE / Ouvrage de référence / Mémentos, aide-mémoires, méthodes hors langues
3036: PARASCOLAIRE / Ouvrage de référence / Atlas parascolaire
3037: PARASCOLAIRE / Formation pour adultes
3038: PARASCOLAIRE / Classiques pédagogiques
4141: PARASCOLAIRE / Classiques pédagogiques / Œuvre commentée
4142: PARASCOLAIRE / Classiques pédagogiques / Analyse d'œuvre
3039: PARASCOLAIRE / Pédagogie et formation des enseignants
3040: PARASCOLAIRE / Pédagogie et formation des enseignants / Didactique, pédagogie
3041: PARASCOLAIRE / Pédagogie et formation des enseignants / Matériel éducatif pour la maternelle
3042: PARASCOLAIRE / Pédagogie et formation des enseignants / Supports pédagogiques pour le niveau élémentaire
3043: PARASCOLAIRE / Pédagogie et formation des enseignants / Supports et ouvrages pédagogiques liés aux programmes Collège et Lycée ou à la Formation continue
3044: PARASCOLAIRE / Pédagogie et formation des enseignants / Éducation Nationale : concours, carrières
3045: PARASCOLAIRE / Pédagogie et formation des enseignants / Revues pédagogiques, Revues des professeurs
3046: PARASCOLAIRE / Orientation, Préparation aux concours
3047: PARASCOLAIRE / Orientation, Préparation aux concours / Études, Orientation, Métiers
3048: PARASCOLAIRE / Orientation, Préparation aux concours / Concours administratifs
3049: PARASCOLAIRE / Orientation, Préparation aux concours / Préparation aux autres concours et examens
3050: PARASCOLAIRE / Français Langue Étrangère
3051;SCIENCES FONDAMENTALES
4050: SCIENCES FONDAMENTALES / Histoire des sciences
4130: SCIENCES FONDAMENTALES / Biographie et autobiographie : science et technologie
3052: SCIENCES FONDAMENTALES / Mathématiques
3053: SCIENCES FONDAMENTALES / Mathématiques / Algèbre
3054: SCIENCES FONDAMENTALES / Mathématiques / Analyse
3055: SCIENCES FONDAMENTALES / Mathématiques / Géométrie
3056: SCIENCES FONDAMENTALES / Mathématiques / Probabilités et statistiques
3057: SCIENCES FONDAMENTALES / Informatique théorique, Mathématiques discrètes
3058: SCIENCES FONDAMENTALES / Physique
3059: SCIENCES FONDAMENTALES / Chimie
3060: SCIENCES FONDAMENTALES / Chimie / Biochimie
3061: SCIENCES FONDAMENTALES / Chimie / Chimie analytique
3062: SCIENCES FONDAMENTALES / Chimie / Chimie organique
3063: SCIENCES FONDAMENTALES / Chimie / Chimie minérale (inorganique)
3064: SCIENCES FONDAMENTALES / Chimie / Chimie expérimentale
3065: SCIENCES FONDAMENTALES / Sciences de la vie
4042: SCIENCES FONDAMENTALES / Sciences de la vie / Biologie
4041: SCIENCES FONDAMENTALES / Sciences de la vie / Botanique
4092: SCIENCES FONDAMENTALES / Sciences de la vie / Ecologie
4043: SCIENCES FONDAMENTALES / Sciences de la vie / Microbiologie
4044: SCIENCES FONDAMENTALES / Sciences de la vie / Zoologie
3066: SCIENCES FONDAMENTALES / Astronomie
3067: SCIENCES FONDAMENTALES / Sciences de la terre (géologie, climatologie, hydrologie...)
3068: SCIENCES FONDAMENTALES / Paléontologie
4117: SCIENCES FONDAMENTALES / Archéologie
4118: SCIENCES FONDAMENTALES / Ethique des sciences et des technologies
4119: SCIENCES FONDAMENTALES / Astrophysique
4120: SCIENCES FONDAMENTALES / Electromagnétisme
4121: SCIENCES FONDAMENTALES / Thermodynamique
